"Year","NumberOfFatalities","NumberOfFatalCrashes","Month"
1989,8,6,"January"
1989,10,8,"January"
1989,2,2,"January"
1989,5,5,"January"
1989,7,3,"January"
1989,8,7,"January"
1989,8,7,"January"
1989,6,5,"January"
1989,8,8,"January"
1989,7,7,"January"
1989,8,3,"January"
1989,7,6,"January"
1989,13,9,"January"
1989,4,4,"January"
1989,8,7,"January"
1989,3,3,"January"
1989,2,2,"January"
1989,8,6,"January"
1989,3,3,"January"
1989,5,5,"January"
1989,15,11,"January"
1989,12,9,"January"
1989,2,2,"January"
1989,5,5,"January"
1989,7,7,"January"
1989,8,8,"January"
1989,16,12,"January"
1989,13,13,"January"
1989,9,8,"January"
1989,5,5,"January"
1989,6,6,"January"
1989,6,5,"February"
1989,2,2,"February"
1989,1,1,"February"
1989,7,6,"February"
1989,9,7,"February"
1989,14,10,"February"
1989,9,8,"February"
1989,7,7,"February"
1989,8,8,"February"
1989,9,5,"February"
1989,3,3,"February"
1989,11,10,"February"
1989,8,8,"February"
1989,8,7,"February"
1989,9,8,"February"
1989,10,10,"February"
1989,7,7,"February"
1989,6,6,"February"
1989,11,10,"February"
1989,5,5,"February"
1989,3,3,"February"
1989,9,9,"February"
1989,12,11,"February"
1989,10,9,"February"
1989,13,11,"February"
1989,7,7,"February"
1989,3,3,"February"
1989,4,4,"February"
1989,11,10,"March"
1989,7,7,"March"
1989,10,8,"March"
1989,16,15,"March"
1989,8,8,"March"
1989,4,4,"March"
1989,10,8,"March"
1989,3,3,"March"
1989,3,3,"March"
1989,10,10,"March"
1989,13,12,"March"
1989,6,6,"March"
1989,14,8,"March"
1989,11,9,"March"
1989,5,4,"March"
1989,0,0,"March"
1989,13,13,"March"
1989,9,8,"March"
1989,7,7,"March"
1989,2,2,"March"
1989,14,9,"March"
1989,8,7,"March"
1989,10,9,"March"
1989,4,4,"March"
1989,10,9,"March"
1989,9,8,"March"
1989,9,8,"March"
1989,7,6,"March"
1989,10,7,"March"
1989,7,7,"March"
1989,6,6,"March"
1989,6,6,"April"
1989,9,6,"April"
1989,4,3,"April"
1989,1,1,"April"
1989,4,4,"April"
1989,7,4,"April"
1989,11,9,"April"
1989,8,8,"April"
1989,10,10,"April"
1989,6,6,"April"
1989,3,3,"April"
1989,6,5,"April"
1989,4,3,"April"
1989,5,5,"April"
1989,8,7,"April"
1989,5,5,"April"
1989,4,4,"April"
1989,6,5,"April"
1989,4,4,"April"
1989,7,5,"April"
1989,5,5,"April"
1989,12,10,"April"
1989,6,5,"April"
1989,6,6,"April"
1989,10,8,"April"
1989,4,4,"April"
1989,9,9,"April"
1989,9,7,"April"
1989,2,2,"April"
1989,7,7,"April"
1989,5,3,"May"
1989,2,2,"May"
1989,2,2,"May"
1989,2,2,"May"
1989,5,5,"May"
1989,5,4,"May"
1989,9,9,"May"
1989,3,3,"May"
1989,3,3,"May"
1989,6,4,"May"
1989,9,9,"May"
1989,8,8,"May"
1989,12,11,"May"
1989,13,9,"May"
1989,5,5,"May"
1989,6,6,"May"
1989,4,3,"May"
1989,10,7,"May"
1989,6,6,"May"
1989,8,8,"May"
1989,11,9,"May"
1989,5,5,"May"
1989,4,4,"May"
1989,11,8,"May"
1989,7,7,"May"
1989,12,11,"May"
1989,9,9,"May"
1989,10,8,"May"
1989,12,11,"May"
1989,4,4,"May"
1989,5,5,"May"
1989,3,3,"June"
1989,8,8,"June"
1989,11,9,"June"
1989,4,4,"June"
1989,9,8,"June"
1989,5,5,"June"
1989,6,6,"June"
1989,7,7,"June"
1989,10,7,"June"
1989,11,11,"June"
1989,15,12,"June"
1989,5,3,"June"
1989,6,6,"June"
1989,11,11,"June"
1989,11,11,"June"
1989,9,7,"June"
1989,13,10,"June"
1989,14,7,"June"
1989,5,5,"June"
1989,7,5,"June"
1989,6,6,"June"
1989,11,10,"June"
1989,12,11,"June"
1989,19,13,"June"
1989,8,7,"June"
1989,9,6,"June"
1989,7,5,"June"
1989,2,2,"June"
1989,8,8,"June"
1989,5,5,"June"
1989,8,8,"July"
1989,8,5,"July"
