"State","Year","CrashType","DeadPersonType","Gender","Age","StateFullForm"
"SA",1989,"Multiple","Driver","Female",21,"South Australia"
"VIC",1989,"Multiple","Unknown","Female",61,"Victoria"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"NSW",1989,"Single","Driver","Female",56,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",60,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",44,"New South Wales"
"VIC",1989,"Single","Driver","Male",23,"Victoria"
"TAS",1989,"Single","Pedestrian","Female",21,"Tasmania"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"NSW",1989,"Single","Driver","Male",50,"New South Wales"
"VIC",1989,"Single","Pedestrian","Female",74,"Victoria"
"QLD",1989,"Single","Pedestrian","Female",81,"Queensland"
"VIC",1989,"Multiple","Driver","Female",20,"Victoria"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"QLD",1989,"Single","Passenger","Male",18,"Queensland"
"QLD",1989,"Multiple","Pedestrian","Male",27,"Queensland"
"TAS",1989,"Multiple","Driver","Female",20,"Tasmania"
"QLD",1989,"Multiple","Passenger","Female",15,"Queensland"
"ACT",1989,"Single","Motorcycle pillion passenger","Male",21,"Austialian Capital Territory"
"NSW",1989,"Single","Driver","Male",45,"New South Wales"
"SA",1989,"Multiple","Driver","Male",40,"South Australia"
"WA",1989,"Single","Passenger","Female",41,"West Australia"
"NSW",1989,"Single","Driver","Male",67,"New South Wales"
"VIC",1989,"Single","Driver","Male",42,"Victoria"
"NSW",1989,"Multiple","Driver","Male",48,"New South Wales"
"QLD",1989,"Single","Driver","Female",41,"Queensland"
"NSW",1989,"Single","Pedestrian","Male",38,"New South Wales"
"NSW",1989,"Single","Passenger","Male",30,"New South Wales"
"NSW",1989,"Single","Driver","Male",20,"New South Wales"
"TAS",1989,"Single","Passenger","Male",46,"Tasmania"
"QLD",1989,"Multiple","Driver","Male",33,"Queensland"
"VIC",1989,"Multiple","Driver","Male",38,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",23,"Victoria"
"VIC",1989,"Single","Pedestrian","Female",1,"Victoria"
"QLD",1989,"Single","Passenger","Male",74,"Queensland"
"NSW",1989,"Multiple","Driver","Female",24,"New South Wales"
"SA",1989,"Single","Pedestrian","Male",47,"South Australia"
"QLD",1989,"Single","Driver","Male",21,"Queensland"
"NSW",1989,"Multiple","Pedestrian","Male",32,"New South Wales"
"VIC",1989,"Single","Driver","Female",66,"Victoria"
"NSW",1989,"Multiple","Passenger","Male",62,"New South Wales"
"WA",1989,"Multiple","Driver","Male",25,"West Australia"
"QLD",1989,"Multiple","Pedal cyclist","Male",17,"Queensland"
"TAS",1989,"Single","Passenger","Female",63,"Tasmania"
"SA",1989,"Single","Driver","Male",35,"South Australia"
"WA",1989,"Single","Pedestrian","Male",26,"West Australia"
"NSW",1989,"Single","Pedestrian","Male",78,"New South Wales"
"QLD",1989,"Multiple","Pedal cyclist","Male",47,"Queensland"
"WA",1989,"Multiple","Driver","Male",27,"West Australia"
"VIC",1989,"Single","Pedestrian","Male",52,"Victoria"
"WA",1989,"Single","Driver","Female",64,"West Australia"
"NSW",1989,"Multiple","Passenger","Female",53,"New South Wales"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"WA",1989,"Single","Driver","Male",42,"West Australia"
"QLD",1989,"Single","Driver","Male",39,"Queensland"
"VIC",1989,"Single","Pedestrian","Male",6,"Victoria"
"QLD",1989,"Multiple","Pedal cyclist","Male",44,"Queensland"
"WA",1989,"Multiple","Driver","Female",37,"West Australia"
"TAS",1989,"Multiple","Passenger","Female",2,"Tasmania"
"QLD",1989,"Multiple","Driver","Male",54,"Queensland"
"NSW",1989,"Single","Passenger","Male",4,"New South Wales"
"QLD",1989,"Single","Pedal cyclist","Male",70,"Queensland"
"QLD",1989,"Single","Passenger","Male",8,"Queensland"
"QLD",1989,"Single","Pedestrian","Male",21,"Queensland"
"VIC",1989,"Multiple","Pedestrian","Male",40,"Victoria"
"NSW",1989,"Multiple","Pedal cyclist","Male",40,"New South Wales"
"NSW",1989,"Multiple","Passenger","Male",49,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",74,"New South Wales"
"NSW",1989,"Single","Driver","Male",65,"New South Wales"
"VIC",1989,"Single","Pedestrian","Male",29,"Victoria"
"QLD",1989,"Multiple","Pedal cyclist","Male",8,"Queensland"
"QLD",1989,"Multiple","Motorcycle rider","Male",36,"Queensland"
"VIC",1989,"Multiple","Motorcycle rider","Male",23,"Victoria"
"NSW",1989,"Multiple","Motorcycle rider","Male",26,"New South Wales"
"WA",1989,"Multiple","Driver","Male",73,"West Australia"
"NT",1989,"Single","Driver","Female",41,"Northern Territory"
"NSW",1989,"Multiple","Driver","Female",43,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",30,"New South Wales"
"VIC",1989,"Single","Passenger","Male",18,"Victoria"
"WA",1989,"Single","Driver","Male",17,"West Australia"
"VIC",1989,"Multiple","Driver","Female",52,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",83,"New South Wales"
"NSW",1989,"Single","Driver","Male",25,"New South Wales"
"NSW",1989,"Single","Pedestrian","Female",67,"New South Wales"
"SA",1989,"Single","Passenger","Female",21,"South Australia"
"NSW",1989,"Single","Passenger","Male",27,"New South Wales"
"NSW",1989,"Multiple","Motorcycle rider","Male",60,"New South Wales"
"NT",1989,"Single","Passenger","Male",27,"Northern Territory"
"NSW",1989,"Single","Passenger","Male",18,"New South Wales"
"NSW",1989,"Single","Driver","Male",17,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",48,"New South Wales"
"NSW",1989,"Single","Passenger","Male",7,"New South Wales"
"NSW",1989,"Single","Motorcycle rider","Male",67,"New South Wales"
"TAS",1989,"Multiple","Passenger","Male",36,"Tasmania"
"WA",1989,"Multiple","Driver","Female",21,"West Australia"
"WA",1989,"Single","Motorcycle rider","Male",29,"West Australia"
"VIC",1989,"Single","Passenger","Female",45,"Victoria"
"NSW",1989,"Single","Driver","Male",56,"New South Wales"
"QLD",1989,"Single","Driver","Female",24,"Queensland"
"WA",1989,"Single","Pedestrian","Female",30,"West Australia"
"VIC",1989,"Single","Driver","Female",28,"Victoria"
"SA",1989,"Multiple","Passenger","Female",67,"South Australia"
"VIC",1989,"Single","Pedestrian","Female",61,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",6,"Victoria"
"ACT",1989,"Multiple","Driver","Male",19,"Austialian Capital Territory"
"SA",1989,"Single","Passenger","Male",45,"South Australia"
"NT",1989,"Single","Driver","Male",33,"Northern Territory"
"VIC",1989,"Multiple","Driver","Male",52,"Victoria"
"VIC",1989,"Single","Motorcycle rider","Male",33,"Victoria"
"NSW",1989,"Single","Pedestrian","Male",80,"New South Wales"
"WA",1989,"Multiple","Motorcycle rider","Male",35,"West Australia"
"NSW",1989,"Single","Driver","Male",25,"New South Wales"
"VIC",1989,"Single","Passenger","Male",17,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",21,"Victoria"
"NT",1989,"Single","Driver","Male",28,"Northern Territory"
"WA",1989,"Single","Driver","Female",36,"West Australia"
"VIC",1989,"Single","Driver","Male",24,"Victoria"
"QLD",1989,"Multiple","Pedestrian","Female",41,"Queensland"
"NT",1989,"Single","Driver","Male",20,"Northern Territory"
"QLD",1989,"Single","Driver","Male",18,"Queensland"
"NSW",1989,"Single","Driver","Male",76,"New South Wales"
"NSW",1989,"Multiple","Driver","Male",26,"New South Wales"
"NSW",1989,"Multiple","Motorcycle rider","Male",46,"New South Wales"
"VIC",1989,"Multiple","Pedestrian","Male",65,"Victoria"
"NSW",1989,"Single","Driver","Male",22,"New South Wales"
"NSW",1989,"Multiple","Driver","Female",19,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",16,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",68,"Victoria"
"SA",1989,"Single","Passenger","Male",19,"South Australia"
"VIC",1989,"Multiple","Driver","Male",24,"Victoria"
"VIC",1989,"Multiple","Driver","Male",62,"Victoria"
"NT",1989,"Multiple","Pedestrian","Male",45,"Northern Territory"
"NSW",1989,"Single","Driver","Male",18,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",86,"Victoria"
"VIC",1989,"Single","Pedestrian","Male",66,"Victoria"
"QLD",1989,"Single","Passenger","Male",18,"Queensland"
"QLD",1989,"Single","Passenger","Male",15,"Queensland"
"NSW",1989,"Single","Driver","Male",23,"New South Wales"
"VIC",1989,"Single","Pedestrian","Male",12,"Victoria"
"NSW",1989,"Single","Motorcycle rider","Male",55,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",54,"Victoria"
"NSW",1989,"Single","Driver","Male",48,"New South Wales"
"VIC",1989,"Multiple","Passenger","Female",14,"Victoria"
"NSW",1989,"Multiple","Driver","Female",75,"New South Wales"
"VIC",1989,"Multiple","Pedestrian","Unknown",-9,"Victoria"
"QLD",1989,"Single","Driver","Female",26,"Queensland"
"SA",1989,"Single","Driver","Male",21,"South Australia"
