"YEAR","COUNT","First(JURISDICTION)"
2008,211,"TAS"
2008,216,"QLD"
2008,406,"WA"
2008,438,"VIC"
2008,542,"NSW"
2008,600,"SA"
2009,252,"TAS"
2009,254,"QLD"
2009,289,"WA"
2009,323,"VIC"
2009,613,"NSW"
2009,1179,"SA"
2010,418,"WA"
2010,440,"QLD"
2010,735,"NSW"
2010,741,"VIC"
2010,1699,"SA"
2011,460,"WA"
2011,573,"TAS"
2011,666,"NSW"
2011,760,"VIC"
2011,825,"QLD"
2011,2320,"SA"
2012,37,"ACT"
2012,523,"TAS"
2012,623,"WA"
2012,705,"NSW"
2012,937,"QLD"
2012,2180,"VIC"
2012,3237,"SA"
2013,84,"NT"
2013,116,"ACT"
2013,539,"WA"
2013,639,"TAS"
2013,898,"NSW"
2013,1300,"QLD"
2013,2540,"VIC"
2013,3737,"SA"
2014,90,"NT"
2014,392,"ACT"
2014,1104,"WA"
2014,1969,"TAS"
2014,2096,"NSW"
2014,2208,"QLD"
2014,3749,"VIC"
2014,4681,"SA"
2015,120,"NT"
2015,258,"ACT"
2015,2318,"TAS"
2015,2816,"WA"
2015,5239,"SA"
2015,7446,"QLD"
2015,7823,"VIC"
2015,9123,"NSW"
2016,196,"NT"
2016,444,"ACT"
2016,2154,"TAS"
2016,3651,"WA"
2016,4310,"SA"
2016,8220,"NSW"
2016,9065,"VIC"
2016,10663,"QLD"
2017,329,"NT"
2017,504,"ACT"
2017,2152,"TAS"
2017,3311,"WA"
2017,4337,"SA"
2017,8252,"VIC"
2017,9273,"NSW"
2017,11697,"QLD"
2018,341,"NT"
2018,877,"ACT"
2018,2408,"TAS"
2018,4814,"WA"
2018,5141,"SA"
2018,9067,"NSW"
2018,11548,"VIC"
2018,14020,"QLD"
2019,462,"NT"
2019,852,"ACT"
2019,2487,"TAS"
2019,4985,"SA"
2019,5175,"WA"
2019,9446,"NSW"
2019,11693,"VIC"
2019,13366,"QLD"
2020,372,"NT"
2020,834,"ACT"
2020,3273,"TAS"
2020,4919,"WA"
2020,5728,"SA"
2020,8871,"QLD"
2020,10256,"VIC"
2020,12652,"NSW"
2021,273,"NT"
2021,461,"ACT"
2021,2618,"TAS"
2021,4226,"SA"
2021,5326,"WA"
2021,9717,"VIC"
2021,9847,"QLD"
