"Year","Jurisdiction","TotalLicence"
2010,"NSW",4791490
2011,"NSW",4893688
2012,"NSW",4984973
2013,"NSW",5060762
2014,"NSW",5142396
2015,"NSW",5245755
2016,"NSW",5337947
2017,"NSW",5439711
2018,"NSW",5529185
2019,"NSW",5606175
2020,"NSW",5648327
2021,"NSW",5775889
2022,"NSW",5960216
2023,"NSW",6040358
2024,"NSW",6166226
2010,"VIC",3978322
2011,"VIC",4060582
2012,"VIC",4135725
2013,"VIC",4228230
2014,"VIC",4310687
2015,"VIC",4384609
2016,"VIC",4474502
2017,"VIC",4565595
2018,"VIC",4665764
2019,"VIC",4748539
2020,"VIC",4807706
2021,"VIC",4895143
2022,"VIC",4968836
2023,"VIC",5097911
2024,"VIC",5260408
2010,"QLD",3132341
2011,"QLD",3240939
2012,"QLD",3301004
2013,"QLD",3374824
2014,"QLD",3384271
2015,"QLD",3432171
2016,"QLD",3505706
2017,"QLD",3580836
2018,"QLD",3657643
2019,"QLD",3719766
2020,"QLD",3806397
2021,"QLD",3888986
2022,"QLD",3973138
2023,"QLD",4051724
2024,"QLD",4154952
2010,"SA",1130920
2011,"SA",1138713
2012,"SA",1151821
2013,"SA",1183292
2014,"SA",1196554
2015,"SA",1206194
2016,"SA",1219494
2017,"SA",1232106
2018,"SA",1246015
2019,"SA",1258216
2020,"SA",1271958
2021,"SA",1294479
2022,"SA",1329139
2023,"SA",1340060
2024,"SA",1362548
2010,"WA",1566465
2011,"WA",1605793
2012,"WA",1623226
2013,"WA",1854446
2014,"WA",1896560
2015,"WA",1928430
2016,"WA",1952879
2017,"WA",1965031
2018,"WA",1977775
2019,"WA",1992380
2020,"WA",2013336
2021,"WA",2036282
2022,"WA",2078263
2023,"WA",2132257
2024,"WA",2194816
2010,"TAS",363291
2011,"TAS",367296
2012,"TAS",365359
2013,"TAS",365295
2014,"TAS",366231
2015,"TAS",370296
2016,"TAS",379305
2017,"TAS",380215
2018,"TAS",387773
2019,"TAS",398452
2020,"TAS",406437
2021,"TAS",416263
2022,"TAS",423676
2023,"TAS",426528
2024,"TAS",429865
2010,"NT",132561
2011,"NT",133035
2012,"NT",138077
2013,"NT",146404
2014,"NT",150653
2015,"NT",152268
2016,"NT",154405
2017,"NT",156344
2018,"NT",157296
2019,"NT",156344
2020,"NT",157831
2021,"NT",159208
2022,"NT",159063
2023,"NT",161361
2024,"NT",163416
2010,"ACT",287134
2011,"ACT",294174
2012,"ACT",301841
2013,"ACT",307834
2014,"ACT",314244
2015,"ACT",312267
2016,"ACT",328377
2017,"ACT",324489
2018,"ACT",330574
2019,"ACT",329637
2020,"ACT",326495
2021,"ACT",326454
2022,"ACT",334900
2023,"ACT",341420
2024,"ACT",347892
2010,"Australia",15382524
2011,"Australia",15734220
2012,"Australia",16002026
2013,"Australia",16521087
2014,"Australia",16761596
2015,"Australia",17031990
2016,"Australia",17352615
2017,"Australia",17644277
2018,"Australia",17952025
2019,"Australia",18209509
2020,"Australia",18438487
2021,"Australia",18792704
2022,"Australia",19227231
2023,"Australia",19591519
2024,"Australia",20080123
