"Year","Jurisdiction","Sex","LicenceHolders"
2010,"NSW","Female",2315322
2011,"NSW","Female",2369737
2012,"NSW","Female",2418398
2013,"NSW","Female",2460091
2014,"NSW","Female",2504739
2015,"NSW","Female",2557718
2016,"NSW","Female",2605565
2017,"NSW","Female",2657267
2018,"NSW","Female",2703930
2019,"NSW","Female",2741799
2020,"NSW","Female",2761683
2021,"NSW","Female",2832283
2022,"NSW","Female",2908461
2023,"NSW","Female",2952159
2024,"NSW","Female",3009242
2010,"NSW","Male",2476168
2011,"NSW","Male",2523951
2012,"NSW","Male",2566575
2013,"NSW","Male",2600671
2014,"NSW","Male",2637657
2015,"NSW","Male",2687996
2016,"NSW","Male",2732304
2017,"NSW","Male",2782328
2018,"NSW","Male",2825118
2019,"NSW","Male",2864215
2020,"NSW","Male",2886489
2021,"NSW","Male",2943421
2022,"NSW","Male",3051551
2023,"NSW","Male",3087998
2024,"NSW","Male",3156984
2010,"VIC","Female",1940880
2011,"VIC","Female",1982698
2012,"VIC","Female",2021620
2013,"VIC","Female",2071941
2014,"VIC","Female",2113919
2015,"VIC","Female",2153123
2016,"VIC","Female",2199924
2017,"VIC","Female",2247661
2018,"VIC","Female",2300072
2019,"VIC","Female",2342339
2020,"VIC","Female",2371771
2021,"VIC","Female",2416555
2022,"VIC","Female",2462206
2023,"VIC","Female",2527389
2024,"VIC","Female",2606135
2010,"VIC","Male",2037437
2011,"VIC","Male",2077880
2012,"VIC","Male",2114102
2013,"VIC","Male",2165287
2014,"VIC","Male",2196765
2015,"VIC","Male",2231474
2016,"VIC","Male",2274519
2017,"VIC","Male",2317857
2018,"VIC","Male",2365535
2019,"VIC","Male",2405998
2020,"VIC","Male",2435680
2021,"VIC","Male",2478588
2022,"VIC","Male",2506630
2023,"VIC","Male",2570522
2024,"VIC","Male",2654273
2010,"QLD","Female",1519454
2011,"QLD","Female",1568918
2012,"QLD","Female",2601868
2013,"QLD","Female",1640470
2014,"QLD","Female",1649823
2015,"QLD","Female",1678350
2016,"QLD","Female",1717209
2017,"QLD","Female",1756773
2018,"QLD","Female",1797380
2019,"QLD","Female",1830754
2020,"QLD","Female",1874857
2021,"QLD","Female",1922138
2022,"QLD","Female",1968249
2023,"QLD","Female",2008761
2024,"QLD","Female",2058800
2010,"QLD","Male",1612887
2011,"QLD","Male",1672021
2012,"QLD","Male",1699136
2013,"QLD","Male",1734354
2014,"QLD","Male",1734448
2015,"QLD","Male",1753821
2016,"QLD","Male",1788497
2017,"QLD","Male",1824063
2018,"QLD","Male",1860263
2019,"QLD","Male",1889012
2020,"QLD","Male",1931540
2021,"QLD","Male",1966847
2022,"QLD","Male",2004888
2023,"QLD","Male",2042962
2024,"QLD","Male",2096150
2010,"SA","Female",544966
2011,"SA","Female",550336
2012,"SA","Female",557545
2013,"SA","Female",572472
2014,"SA","Female",579804
2015,"SA","Female",586205
2016,"SA","Female",594494
2017,"SA","Female",601637
2018,"SA","Female",609474
2019,"SA","Female",615923
2020,"SA","Female",622733
2021,"SA","Female",634783
2022,"SA","Female",652678
2023,"SA","Female",658069
2024,"SA","Female",668985
2010,"SA","Male",585954
2011,"SA","Male",588377
2012,"SA","Male",594275
2013,"SA","Male",610820
2014,"SA","Male",616750
2015,"SA","Male",619903
2016,"SA","Male",624838
2017,"SA","Male",630240
2018,"SA","Male",636243
2019,"SA","Male",642293
2020,"SA","Male",648760
2021,"SA","Male",659102
2022,"SA","Male",675736
2023,"SA","Male",681197
2024,"SA","Male",692675
2010,"WA","Female",742943
2011,"WA","Female",760608
2012,"WA","Female",774560
2013,"WA","Female",868881
2014,"WA","Female",891051
2015,"WA","Female",909517
2016,"WA","Female",926584
2017,"WA","Female",936496
2018,"WA","Female",947903
2019,"WA","Female",959053
2020,"WA","Female",971216
2021,"WA","Female",985140
2022,"WA","Female",1007136
2023,"WA","Female",1031153
2024,"WA","Female",1058421
2010,"WA","Male",821398
2011,"WA","Male",843139
2012,"WA","Male",846715
2013,"WA","Male",983595
2014,"WA","Male",1003606
2015,"WA","Male",1017106
2016,"WA","Male",1025570
2017,"WA","Male",1026898
2018,"WA","Male",1028348
2019,"WA","Male",1033327
2020,"WA","Male",1042120
2021,"WA","Male",1051142
2022,"WA","Male",1071137
2023,"WA","Male",1101104
2024,"WA","Male",1136395
2010,"TAS","Female",179237
2011,"TAS","Female",181448
2012,"TAS","Female",180870
2013,"TAS","Female",181031
2014,"TAS","Female",181883
2015,"TAS","Female",184420
2016,"TAS","Female",188991
2017,"TAS","Female",189982
2018,"TAS","Female",193880
2019,"TAS","Female",198779
2020,"TAS","Female",202406
2021,"TAS","Female",207429
2022,"TAS","Female",211566
2023,"TAS","Female",213464
2024,"TAS","Female",215511
2010,"TAS","Male",184054
2011,"TAS","Male",185848
2012,"TAS","Male",184489
2013,"TAS","Male",184264
2014,"TAS","Male",184348
2015,"TAS","Male",185876
2016,"TAS","Male",190314
2017,"TAS","Male",190233
2018,"TAS","Male",193893
2019,"TAS","Male",199673
2020,"TAS","Male",204031
2021,"TAS","Male",208834
2022,"TAS","Male",212110
2023,"TAS","Male",213064
2024,"TAS","Male",214354
2010,"NT","Female",59573
2011,"NT","Female",60064
2012,"NT","Female",62464
2013,"NT","Female",65602
2014,"NT","Female",67245
2015,"NT","Female",68089
2016,"NT","Female",69697
2017,"NT","Female",70960
2018,"NT","Female",71916
2019,"NT","Female",72213
2020,"NT","Female",73168
2021,"NT","Female",74333
2022,"NT","Female",74190
2023,"NT","Female",75376
2024,"NT","Female",76322
2010,"NT","Male",72988
2011,"NT","Male",72971
2012,"NT","Male",75613
2013,"NT","Male",80802
2014,"NT","Male",83408
2015,"NT","Male",84179
2016,"NT","Male",84708
2017,"NT","Male",85384
2018,"NT","Male",85380
2019,"NT","Male",85380
2020,"NT","Male",84663
2021,"NT","Male",84875
2022,"NT","Male",84873
2023,"NT","Male",85978
2024,"NT","Male",87085
2010,"ACT","Female",140724
2011,"ACT","Female",144078
2012,"ACT","Female",147947
2013,"ACT","Female",150982
2014,"ACT","Female",154703
2015,"ACT","Female",153805
2016,"ACT","Female",162416
2017,"ACT","Female",160679
2018,"ACT","Female",163805
2019,"ACT","Female",163343
2020,"ACT","Female",161479
2021,"ACT","Female",161108
2022,"ACT","Female",167079
2023,"ACT","Female",169866
2024,"ACT","Female",172450
2010,"ACT","Male",146410
2011,"ACT","Male",150096
2012,"ACT","Male",153894
2013,"ACT","Male",156852
2014,"ACT","Male",159541
2015,"ACT","Male",158462
2016,"ACT","Male",165959
2017,"ACT","Male",163737
2018,"ACT","Male",166705
2019,"ACT","Male",166189
2020,"ACT","Male",164875
2021,"ACT","Male",165131
2022,"ACT","Male",167504
2023,"ACT","Male",171173
2024,"ACT","Male",175006
2010,"Australia","Female",7443099
2011,"Australia","Female",7617887
2012,"Australia","Female",7765272
2013,"Australia","Female",8011470
2014,"Australia","Female",8143167
2015,"Australia","Female",8291227
2016,"Australia","Female",8464880
2017,"Australia","Female",8621455
2018,"Australia","Female",8788360
2019,"Australia","Female",8924203
2020,"Australia","Female",9039313
2021,"Australia","Female",9233769
2022,"Australia","Female",9451555
2023,"Australia","Female",9636237
2024,"Australia","Female",9865866
2010,"Australia","Male",7937296
2011,"Australia","Male",8114283
2012,"Australia","Male",8234800
2013,"Australia","Male",8507645
2014,"Australia","Male",8616523
2015,"Australia","Male",8738817
2016,"Australia","Male",8886709
2017,"Australia","Male",9020740
2018,"Australia","Male",9161485
2019,"Australia","Male",9286087
2020,"Australia","Male",9398158
2021,"Australia","Male",9557940
2022,"Australia","Male",9774429
2023,"Australia","Male",9953998
2024,"Australia","Male",10212922
