"YEAR","METRIC","COUNT","First(JURISDICTION)"
2008,"breath_tests_conducted",89354,"ACT"
2008,"breath_tests_conducted",111662,"NT"
2008,"breath_tests_conducted",661386,"WA"
2008,"breath_tests_conducted",661839,"SA"
2008,"breath_tests_conducted",678140,"TAS"
2008,"breath_tests_conducted",2883056,"QLD"
2008,"breath_tests_conducted",3516900,"VIC"
2008,"breath_tests_conducted",4204525,"NSW"
2008,"drug_tests_conducted",412,"TAS"
2008,"drug_tests_conducted",9823,"WA"
2008,"drug_tests_conducted",10747,"QLD"
2008,"drug_tests_conducted",20333,"NSW"
2008,"drug_tests_conducted",25006,"VIC"
2008,"drug_tests_conducted",25903,"SA"
2009,"breath_tests_conducted",88403,"ACT"
2009,"breath_tests_conducted",159374,"NT"
2009,"breath_tests_conducted",512595,"WA"
2009,"breath_tests_conducted",613945,"TAS"
2009,"breath_tests_conducted",716186,"SA"
2009,"breath_tests_conducted",3098664,"QLD"
2009,"breath_tests_conducted",3641499,"VIC"
2009,"breath_tests_conducted",4440862,"NSW"
2009,"drug_tests_conducted",7565,"WA"
2009,"drug_tests_conducted",12489,"QLD"
2009,"drug_tests_conducted",24884,"NSW"
2009,"drug_tests_conducted",28083,"VIC"
2009,"drug_tests_conducted",43681,"SA"
2010,"breath_tests_conducted",97612,"ACT"
2010,"breath_tests_conducted",181626,"NT"
2010,"breath_tests_conducted",551911,"WA"
2010,"breath_tests_conducted",606991,"TAS"
2010,"breath_tests_conducted",731645,"SA"
2010,"breath_tests_conducted",3199185,"QLD"
2010,"breath_tests_conducted",3864296,"VIC"
2010,"breath_tests_conducted",4637033,"NSW"
2010,"drug_tests_conducted",1427,"TAS"
2010,"drug_tests_conducted",9773,"WA"
2010,"drug_tests_conducted",21655,"QLD"
2010,"drug_tests_conducted",32455,"NSW"
2010,"drug_tests_conducted",41642,"VIC"
2010,"drug_tests_conducted",45124,"SA"
2011,"breath_tests_conducted",100217,"ACT"
2011,"breath_tests_conducted",176358,"NT"
2011,"breath_tests_conducted",559854,"TAS"
2011,"breath_tests_conducted",603484,"WA"
2011,"breath_tests_conducted",604722,"SA"
2011,"breath_tests_conducted",3369995,"QLD"
2011,"breath_tests_conducted",3513951,"VIC"
2011,"breath_tests_conducted",4520010,"NSW"
2011,"drug_tests_conducted",1678,"TAS"
2011,"drug_tests_conducted",7637,"WA"
2011,"drug_tests_conducted",25140,"VIC"
2011,"drug_tests_conducted",25172,"QLD"
2011,"drug_tests_conducted",33528,"NSW"
2011,"drug_tests_conducted",44178,"SA"
2012,"breath_tests_conducted",90817,"ACT"
2012,"breath_tests_conducted",167667,"NT"
2012,"breath_tests_conducted",542219,"SA"
2012,"breath_tests_conducted",550354,"TAS"
2012,"breath_tests_conducted",736209,"WA"
2012,"breath_tests_conducted",3483717,"QLD"
2012,"breath_tests_conducted",3943320,"VIC"
2012,"breath_tests_conducted",4735462,"NSW"
2012,"drug_tests_conducted",1698,"TAS"
2012,"drug_tests_conducted",1733,"ACT"
2012,"drug_tests_conducted",9124,"WA"
2012,"drug_tests_conducted",19686,"QLD"
2012,"drug_tests_conducted",31446,"NSW"
2012,"drug_tests_conducted",43569,"SA"
2012,"drug_tests_conducted",47745,"VIC"
2013,"breath_tests_conducted",129577,"ACT"
2013,"breath_tests_conducted",156719,"NT"
2013,"breath_tests_conducted",525003,"SA"
2013,"breath_tests_conducted",551444,"TAS"
2013,"breath_tests_conducted",897397,"WA"
2013,"breath_tests_conducted",3482898,"VIC"
2013,"breath_tests_conducted",3696689,"QLD"
2013,"breath_tests_conducted",5153136,"NSW"
2013,"drug_tests_conducted",1819,"TAS"
2013,"drug_tests_conducted",2429,"ACT"
2013,"drug_tests_conducted",7265,"WA"
2013,"drug_tests_conducted",20787,"QLD"
2013,"drug_tests_conducted",34280,"NSW"
2013,"drug_tests_conducted",39471,"VIC"
2013,"drug_tests_conducted",51179,"SA"
2014,"breath_tests_conducted",147552,"ACT"
2014,"breath_tests_conducted",175914,"NT"
2014,"breath_tests_conducted",475510,"TAS"
2014,"breath_tests_conducted",554882,"SA"
2014,"breath_tests_conducted",1236194,"WA"
2014,"breath_tests_conducted",3837417,"VIC"
2014,"breath_tests_conducted",3887768,"QLD"
2014,"breath_tests_conducted",5916338,"NSW"
2014,"drug_tests_conducted",2520,"ACT"
2014,"drug_tests_conducted",3431,"TAS"
2014,"drug_tests_conducted",14513,"WA"
2014,"drug_tests_conducted",21225,"QLD"
2014,"drug_tests_conducted",38830,"NSW"
2014,"drug_tests_conducted",49777,"SA"
2014,"drug_tests_conducted",55908,"VIC"
2015,"breath_tests_conducted",121416,"ACT"
2015,"breath_tests_conducted",181843,"NT"
2015,"breath_tests_conducted",469610,"TAS"
